timestamp,elapsed_s,x_cm,y_cm,theta_deg,distance_cm,v_left,v_right,v_linear,omega,angle_error_deg,fx_repulsive,fy_repulsive,num_obstacles,potential_type
2025-11-25 14:48:22.125,0.230,0.00,0.00,89.90,152.97,0.19,0.00,0.10,-0.008,-173.33,-0.85,-15.63,1,linear
2025-11-25 14:48:23.414,1.519,0.00,0.00,90.00,152.97,0.78,0.02,0.40,-0.032,-101.31,0.00,0.00,0,linear
2025-11-25 14:48:24.031,2.136,0.00,0.00,90.00,152.97,0.57,0.01,0.29,-0.024,-162.44,3.64,-23.90,2,linear
2025-11-25 14:48:25.096,3.201,0.10,1.40,81.60,153.15,0.76,0.02,0.39,-0.032,-151.40,3.34,-16.28,1,linear
2025-11-25 14:48:25.645,3.750,0.20,2.00,78.40,153.18,1.95,0.05,1.00,-0.081,-90.46,0.00,0.00,0,linear
2025-11-25 14:48:26.094,4.199,0.30,2.70,74.90,153.23,2.34,0.06,1.20,-0.097,-87.22,0.00,0.00,0,linear
2025-11-25 14:48:26.408,4.513,0.50,3.20,72.00,153.14,2.73,0.07,1.40,-0.113,-84.52,0.00,0.00,0,linear
2025-11-25 14:48:26.818,4.923,0.70,3.70,69.20,153.13,3.12,0.08,1.60,-0.129,-82.57,0.00,0.00,0,linear
2025-11-25 14:48:27.308,5.413,0.90,4.30,65.80,152.99,1.72,0.04,0.88,-0.071,-172.86,-6.31,-12.28,1,linear
2025-11-25 14:48:27.671,5.775,1.10,4.80,63.00,152.91,3.90,0.10,2.00,-0.162,-76.15,0.00,0.00,0,linear
2025-11-25 14:48:27.986,6.091,1.30,5.20,60.80,152.81,2.10,0.05,1.08,-0.087,-172.96,-6.48,-10.29,1,linear
2025-11-25 14:48:28.385,6.490,1.60,5.70,57.40,152.61,2.29,0.06,1.18,-0.095,-173.04,-8.95,-12.83,1,linear
2025-11-25 14:48:29.652,7.757,2.70,7.20,48.30,151.92,5.86,0.15,3.00,-0.243,-62.47,0.00,0.00,0,linear
2025-11-25 14:48:30.282,8.386,3.50,7.90,43.20,151.32,7.29,0.19,3.74,-0.302,-57.70,0.00,0.00,0,linear
2025-11-25 14:48:30.593,8.697,4.10,8.50,39.00,150.89,4.86,4.00,4.43,-0.037,-53.78,0.00,0.00,0,linear
2025-11-25 14:48:30.912,9.017,4.90,9.10,33.40,150.28,6.61,4.00,5.30,-0.111,-48.48,0.00,0.00,0,linear
2025-11-25 14:48:31.317,9.422,6.50,10.20,31.90,149.40,7.36,4.00,5.68,-0.143,-48.05,0.00,0.00,0,linear
2025-11-25 14:48:31.762,9.867,8.50,11.30,28.90,147.40,8.69,4.00,6.34,-0.200,-45.17,0.00,0.00,0,linear
2025-11-25 14:48:32.123,10.227,9.90,12.00,26.70,146.26,9.81,4.00,6.90,-0.247,-43.39,0.00,0.00,0,linear
2025-11-25 14:48:32.443,10.548,11.80,12.90,23.30,144.71,11.20,4.00,7.60,-0.306,-40.55,0.00,0.00,0,linear
2025-11-25 14:48:32.981,11.086,14.70,14.00,16.50,142.27,13.30,4.00,8.65,-0.396,-34.51,0.00,0.00,0,linear
2025-11-25 14:48:33.384,11.489,18.20,14.70,7.80,139.17,15.23,4.45,9.84,-0.458,-26.53,0.00,0.00,0,linear
2025-11-25 14:48:33.699,11.804,20.70,14.90,1.20,136.87,14.91,6.65,10.78,-0.352,-20.35,0.00,0.00,0,linear
2025-11-25 14:48:34.062,12.167,23.90,14.80,352.50,133.82,14.18,9.29,11.74,-0.208,-12.06,0.00,0.00,0,linear
2025-11-25 14:48:34.647,12.752,28.80,13.60,342.50,128.80,12.95,12.03,12.49,-0.039,-2.29,0.00,0.00,0,linear
2025-11-25 14:48:35.004,13.108,33.00,12.10,337.60,124.34,7.46,8.52,7.99,0.045,2.61,0.00,0.00,0,linear
2025-11-25 14:48:35.321,13.426,37.50,10.10,336.00,119.43,7.59,9.36,8.48,0.076,4.38,0.00,0.00,0,linear
2025-11-25 14:48:35.635,13.740,39.40,9.20,336.80,117.34,8.23,9.73,8.98,0.064,3.68,0.00,0.00,0,linear
2025-11-25 14:48:36.175,14.280,42.90,7.90,338.60,113.61,9.11,9.88,9.49,0.033,1.91,0.00,0.00,0,linear
2025-11-25 14:48:36.490,14.595,46.20,6.70,340.20,110.10,9.93,10.07,10.00,0.006,0.33,0.00,0.00,0,linear
2025-11-25 14:48:36.795,14.900,48.80,5.80,340.90,107.35,10.58,10.42,10.50,-0.007,-0.38,0.00,0.00,0,linear
2025-11-25 14:48:37.122,15.226,52.10,4.70,340.90,103.87,11.08,10.92,11.00,-0.007,-0.42,0.00,0.00,0,linear
2025-11-25 14:48:37.661,15.766,56.50,3.20,340.50,99.22,11.51,11.49,11.50,-0.001,-0.05,0.00,0.00,0,linear
2025-11-25 14:48:37.977,16.082,60.60,1.80,340.50,94.89,12.02,11.98,12.00,-0.001,-0.08,0.00,0.00,0,linear
2025-11-25 14:48:38.333,16.437,63.80,0.70,340.70,91.50,12.56,12.44,12.50,-0.005,-0.30,0.00,0.00,0,linear
2025-11-25 14:48:38.652,16.757,67.80,-0.60,340.70,87.30,13.08,12.92,13.00,-0.007,-0.38,0.00,0.00,0,linear
2025-11-25 14:48:39.279,17.384,73.10,-2.40,340.80,81.70,13.61,13.39,13.50,-0.009,-0.54,0.00,0.00,0,linear
2025-11-25 14:48:39.684,17.788,79.20,-4.40,340.70,75.29,14.12,13.88,14.00,-0.010,-0.58,0.00,0.00,0,linear
2025-11-25 14:48:40.001,18.106,84.30,-6.10,340.80,69.91,14.66,14.34,14.50,-0.014,-0.79,0.00,0.00,0,linear
2025-11-25 14:48:40.447,18.552,89.50,-7.90,340.70,64.41,15.15,14.84,15.00,-0.013,-0.77,0.00,0.00,0,linear
2025-11-25 14:48:40.856,18.960,95.50,-10.00,340.60,58.05,14.66,14.36,14.51,-0.013,-0.75,0.00,0.00,0,linear
2025-11-25 14:48:41.171,19.276,100.50,-11.80,340.40,52.74,13.30,13.07,13.18,-0.010,-0.59,0.00,0.00,0,linear
2025-11-25 14:48:41.486,19.591,104.60,-13.20,340.00,48.41,12.16,12.04,12.10,-0.005,-0.31,0.00,0.00,0,linear
2025-11-25 14:48:41.982,20.087,109.40,-14.90,340.00,43.32,10.91,10.75,10.83,-0.007,-0.40,0.00,0.00,0,linear
2025-11-25 14:48:42.388,20.493,115.00,-17.00,339.80,37.34,9.37,9.30,9.33,-0.003,-0.18,0.00,0.00,0,linear
2025-11-25 14:48:42.700,20.804,118.10,-18.10,340.00,34.05,8.60,8.42,8.51,-0.008,-0.46,0.00,0.00,0,linear
2025-11-25 14:48:43.012,21.117,121.20,-19.20,339.80,30.76,7.76,7.62,7.69,-0.006,-0.36,0.00,0.00,0,linear
2025-11-25 14:48:43.507,21.612,123.90,-20.20,339.70,27.88,7.03,6.91,6.97,-0.005,-0.28,0.00,0.00,0,linear
2025-11-25 14:48:43.917,22.022,127.40,-21.50,339.60,24.15,6.08,5.99,6.04,-0.004,-0.21,0.00,0.00,0,linear
2025-11-25 14:48:44.233,22.337,129.60,-22.30,339.70,21.80,5.53,5.37,5.45,-0.007,-0.38,0.00,0.00,0,linear
2025-11-25 14:48:44.544,22.649,131.20,-22.90,339.90,20.10,5.14,4.90,5.02,-0.010,-0.59,0.00,0.00,0,linear
2025-11-25 14:48:44.990,23.095,133.00,-23.50,339.80,18.20,4.70,4.40,4.55,-0.013,-0.72,0.00,0.00,0,linear
2025-11-25 14:48:45.405,23.509,135.40,-24.40,339.80,15.64,4.07,3.75,3.91,-0.014,-0.78,0.00,0.00,0,linear
2025-11-25 14:48:45.713,23.818,136.90,-24.90,339.80,14.06,3.72,3.31,3.51,-0.017,-1.07,0.00,0.00,0,linear
2025-11-25 14:48:46.030,24.135,137.90,-25.30,339.60,12.98,3.39,3.10,3.24,-0.012,-0.83,0.00,0.00,0,linear
2025-11-25 14:48:46.474,24.579,139.00,-25.70,339.30,11.81,3.06,2.85,2.95,-0.009,-0.65,0.00,0.00,0,linear
2025-11-25 14:48:46.886,24.991,140.40,-26.20,339.10,10.32,2.68,2.49,2.58,-0.008,-0.70,0.00,0.00,0,linear
2025-11-25 14:48:47.201,25.305,141.30,-26.50,339.00,9.38,2.46,2.23,2.34,-0.010,-0.91,0.00,0.00,0,linear
