timestamp,elapsed_s,x_cm,y_cm,theta_deg,distance_cm,v_left,v_right,v_linear,omega,angle_error_deg,fx_repulsive,fy_repulsive,num_obstacles,potential_type
2025-11-25 12:56:50.209,0.293,0.00,0.00,89.90,152.97,12.00,4.00,8.00,-0.340,-101.31,0.00,0.00,0,linear
2025-11-25 12:56:50.836,0.921,0.00,0.00,89.90,152.97,12.00,4.00,8.00,-0.340,-101.31,0.00,0.00,0,linear
2025-11-25 12:56:51.243,1.328,0.10,2.40,83.50,153.37,1.17,0.03,0.60,-0.049,-95.80,0.00,0.00,0,linear
2025-11-25 12:56:51.651,1.735,0.80,5.80,74.00,153.48,1.56,0.04,0.80,-0.065,-89.52,0.00,0.00,0,linear
2025-11-25 12:56:52.146,2.231,0.90,6.30,71.20,153.47,12.00,4.00,8.00,-0.340,-84.98,0.00,0.00,0,linear
2025-11-25 12:56:52.500,2.585,1.10,6.80,68.70,153.39,12.00,4.00,8.00,-0.340,-82.68,0.00,0.00,0,linear
2025-11-25 12:56:52.909,2.993,2.20,9.20,61.70,152.93,2.73,0.07,1.40,-0.113,-76.65,0.00,0.00,0,linear
2025-11-25 12:56:53.418,3.503,3.90,12.00,53.00,152.04,3.12,0.08,1.60,-0.129,-69.14,0.00,0.00,0,linear
2025-11-25 12:56:53.804,3.889,4.40,12.70,49.80,151.76,3.53,0.09,1.81,-0.147,-66.25,0.00,0.00,0,linear
2025-11-25 12:56:54.215,4.300,4.80,13.10,46.80,151.49,4.36,0.11,2.24,-0.181,-63.43,0.00,0.00,0,linear
2025-11-25 12:56:54.631,4.716,5.20,13.60,43.50,151.25,5.30,0.14,2.72,-0.220,-60.36,0.00,0.00,0,linear
2025-11-25 12:56:55.154,5.238,5.90,14.20,38.60,150.75,6.58,0.17,3.38,-0.273,-55.75,0.00,0.00,0,linear
2025-11-25 12:56:55.534,5.619,6.80,14.90,33.50,150.10,4.18,4.00,4.09,-0.008,-51.01,0.00,0.00,0,linear
2025-11-25 12:56:55.879,5.964,7.70,15.40,28.20,149.40,5.73,4.00,4.86,-0.073,-46.00,0.00,0.00,0,linear
2025-11-25 12:56:56.289,6.374,9.10,16.10,25.80,148.60,6.83,4.00,5.41,-0.120,-43.80,0.00,0.00,0,linear
2025-11-25 12:56:56.782,6.866,11.00,17.00,23.80,146.77,7.78,4.00,5.89,-0.161,-42.59,0.00,0.00,0,linear
2025-11-25 12:56:57.139,7.223,12.70,17.70,21.70,145.39,8.08,4.00,6.04,-0.174,-40.96,0.00,0.00,0,linear
2025-11-25 12:56:57.545,7.630,15.00,18.50,18.10,143.49,9.40,4.00,6.70,-0.230,-37.97,0.00,0.00,0,linear
2025-11-25 12:56:58.090,8.174,17.60,19.20,13.60,141.29,10.91,4.00,7.45,-0.294,-34.09,0.00,0.00,0,linear
2025-11-25 12:56:58.440,8.524,20.40,19.60,7.70,138.81,12.66,4.00,8.33,-0.368,-28.75,0.00,0.00,0,linear
2025-11-25 12:56:58.801,8.886,22.90,19.80,1.80,136.55,13.92,4.45,9.18,-0.403,-23.31,0.00,0.00,0,linear
2025-11-25 12:56:59.207,9.291,26.40,19.60,352.60,134.01,13.45,6.67,10.06,-0.288,-16.69,0.00,0.00,0,linear
2025-11-25 12:56:59.704,9.789,30.30,18.70,342.00,129.28,11.83,10.11,10.97,-0.074,-4.26,0.00,0.00,0,linear
2025-11-25 12:57:00.065,10.150,33.30,17.50,336.50,126.05,11.25,11.75,11.50,0.021,1.23,0.00,0.00,0,linear
2025-11-25 12:57:00.426,10.511,36.70,16.00,334.80,122.33,11.38,12.59,11.98,0.051,2.98,0.00,0.00,0,linear
2025-11-25 12:57:00.925,11.009,41.20,13.90,335.00,117.37,11.90,13.07,12.48,0.050,2.90,0.00,0.00,0,linear
2025-11-25 12:57:01.371,11.456,46.80,11.40,336.30,111.24,12.65,13.34,12.99,0.029,1.71,0.00,0.00,0,linear
2025-11-25 12:57:01.728,11.812,50.80,9.80,337.30,106.94,13.36,13.64,13.50,0.012,0.70,0.00,0.00,0,linear
2025-11-25 12:57:02.134,12.219,55.60,7.90,338.10,101.77,14.02,13.98,14.00,-0.002,-0.12,0.00,0.00,0,linear
2025-11-25 12:57:02.729,12.813,61.80,5.50,338.40,95.13,14.60,14.40,14.50,-0.008,-0.48,0.00,0.00,0,linear
2025-11-25 12:57:03.079,13.163,67.60,3.30,338.50,88.92,15.14,14.86,15.00,-0.012,-0.67,0.00,0.00,0,linear
2025-11-25 12:57:03.439,13.523,72.20,1.40,338.60,83.95,15.65,15.34,15.50,-0.013,-0.76,0.00,0.00,0,linear
2025-11-25 12:57:04.025,14.110,79.10,-1.10,338.30,76.61,16.14,15.86,16.00,-0.012,-0.67,0.00,0.00,0,linear
2025-11-25 12:57:04.480,14.564,86.70,-4.20,338.10,68.41,16.60,16.40,16.50,-0.009,-0.49,0.00,0.00,0,linear
