ts,x,y,theta,cmd_vl,cmd_vr,acc_rms,ir_max,bumps,batt
2025-10-23T15:19:22,0.0,0.0,89.9,0.0,0.0,0.0,481,0,"(16566, 100)"
2025-10-23T15:19:23,0.0,0.0,89.9,0.0,0.0,0.0,489,0,"(16566, 100)"
2025-10-23T15:19:23,0.0,0.0,89.9,0.0,0.0,0.0,488,0,"(16566, 100)"
2025-10-23T15:19:24,0.0,0.0,89.9,0.0,0.0,0.0,492,0,"(16566, 100)"
2025-10-23T15:19:25,0.0,0.0,89.9,0.0,0.0,0.0,495,0,"(16566, 100)"
2025-10-23T15:19:25,0.0,0.0,89.9,0.0,0.0,0.0,484,0,"(16566, 100)"
2025-10-23T15:19:26,0.0,0.0,89.9,0.0,0.0,0.0,495,0,"(16566, 100)"
2025-10-23T15:19:27,0.0,0.0,89.9,0.0,0.0,0.0,481,0,"(16566, 100)"
2025-10-23T15:19:27,0.0,0.0,89.9,0.0,0.0,0.0,496,0,"(16566, 100)"
2025-10-23T15:19:28,0.0,0.0,89.9,0.0,0.0,0.0,490,0,"(16566, 100)"
2025-10-23T15:19:29,0.0,0.0,89.9,0.0,0.0,0.0,483,0,"(16566, 100)"
2025-10-23T15:19:29,0.0,0.0,89.9,0.0,0.0,0.0,487,0,"(16566, 100)"
2025-10-23T15:19:30,0.0,0.0,89.9,0.0,0.0,0.0,486,0,"(16566, 100)"
2025-10-23T15:19:31,0.0,0.0,89.9,0.0,0.0,0.0,497,0,"(16566, 100)"
2025-10-23T15:19:31,0.0,0.0,89.9,0.0,0.0,0.0,484,0,"(16566, 100)"
2025-10-23T15:19:32,0.0,0.0,89.9,0.0,0.0,0.0,492,0,"(16566, 100)"
2025-10-23T15:19:33,0.0,0.0,89.9,0.0,0.0,0.0,494,0,"(16566, 100)"
2025-10-23T15:19:33,0.0,0.0,89.9,0.0,0.0,0.0,488,0,"(16566, 100)"
2025-10-23T15:19:34,0.0,0.0,89.9,0.0,0.0,0.0,478,0,"(16566, 100)"
2025-10-23T15:19:35,0.0,0.0,89.9,0.0,0.0,0.0,490,0,"(16566, 100)"
2025-10-23T15:19:36,0.0,0.0,89.9,0.0,0.0,0.0,491,0,"(16566, 100)"
