ts,x,y,theta,cmd_vl,cmd_vr,acc_rms,ir_max,bumps,batt
2025-10-23T17:35:37,0.0,0.0,89.9,0.0,0.0,0.0,342,0,"(16447, 100)"
2025-10-23T17:35:37,0.0,0.0,89.9,0.0,0.0,0.0,341,0,"(16447, 100)"
2025-10-23T17:35:38,0.0,0.0,89.9,0.0,0.0,0.0,335,0,"(16447, 100)"
2025-10-23T17:35:39,0.0,0.0,89.9,0.0,0.0,0.0,341,0,"(16447, 100)"
2025-10-23T17:35:39,0.0,0.0,89.9,0.0,0.0,0.0,342,0,"(16447, 100)"
2025-10-23T17:35:40,0.0,0.0,89.9,0.0,0.0,0.0,341,0,"(16447, 100)"
2025-10-23T17:35:41,0.0,0.0,89.9,0.0,0.0,0.0,341,0,"(16447, 100)"
2025-10-23T17:35:42,0.0,0.0,89.9,0.0,0.0,0.0,340,0,"(16447, 100)"
2025-10-23T17:35:43,0.0,0.0,89.9,0.0,0.0,0.0,340,0,"(16447, 100)"
2025-10-23T17:35:43,0.0,0.0,89.9,0.0,0.0,0.0,340,0,"(16447, 100)"
2025-10-23T17:35:44,0.0,0.0,89.9,0.0,0.0,0.0,321,0,"(16447, 100)"
2025-10-23T17:35:45,0.0,-1.9,89.9,0.0,0.0,0.0,456,0,"(16447, 100)"
2025-10-23T17:35:45,0.0,-5.0,89.8,0.0,0.0,0.0,258,0,"(16447, 100)"
2025-10-23T17:35:46,0.0,-8.6,89.7,0.0,0.0,0.0,164,0,"(16336, 100)"
2025-10-23T17:35:47,0.0,-11.6,89.6,0.0,0.0,0.0,129,0,"(16336, 100)"
2025-10-23T17:35:47,0.0,-14.9,89.6,0.0,0.0,0.0,108,0,"(16336, 100)"
2025-10-23T17:35:48,0.0,-18.1,89.5,0.0,0.0,0.0,92,0,"(16333, 100)"
2025-10-23T17:35:48,0.0,-20.9,89.5,0.0,0.0,0.0,36,0,"(16333, 100)"
2025-10-23T17:35:49,0.0,-23.8,89.6,0.0,0.0,0.0,79,0,"(16333, 100)"
2025-10-23T17:35:50,0.0,-26.6,89.7,0.0,0.0,0.0,67,0,"(16333, 100)"
2025-10-23T17:35:50,0.0,-29.6,89.7,0.0,0.0,0.0,71,0,"(16333, 100)"
2025-10-23T17:35:51,-0.1,-29.6,54.6,0.0,0.0,0.0,52,0,"(16321, 100)"
