ts,x,y,theta,cmd_vl,cmd_vr,acc_rms,ir_max,bumps,batt
2025-10-23T18:04:01,0.0,0.0,89.9,0.0,0.0,0.0,490,0,"(16263, 100)"
2025-10-23T18:04:02,0.0,0.0,89.9,0.0,0.0,0.0,481,0,"(16263, 100)"
2025-10-23T18:04:02,0.0,0.0,89.9,0.0,0.0,0.0,483,0,"(16263, 100)"
2025-10-23T18:04:03,0.0,0.0,89.9,0.0,0.0,0.0,479,0,"(16263, 100)"
2025-10-23T18:04:04,0.0,0.0,89.9,0.0,0.0,0.0,481,0,"(16263, 100)"
2025-10-23T18:04:04,0.0,0.0,89.9,0.0,0.0,0.0,480,0,"(16263, 100)"
2025-10-23T18:04:05,0.0,0.0,89.9,0.0,0.0,0.0,486,0,"(16263, 100)"
2025-10-23T18:04:06,0.0,0.0,89.9,0.0,0.0,0.0,488,0,"(16263, 100)"
2025-10-23T18:04:07,0.0,0.0,89.9,0.0,0.0,0.0,481,0,"(16263, 100)"
2025-10-23T18:04:07,0.0,0.0,89.9,0.0,0.0,0.0,424,0,"(16263, 100)"
2025-10-23T18:04:08,0.0,-2.8,89.9,0.0,0.0,0.0,431,0,"(16263, 100)"
2025-10-23T18:04:09,0.0,-5.4,90.1,0.0,0.0,0.0,250,0,"(16263, 100)"
2025-10-23T18:04:09,0.0,-9.1,89.7,0.0,0.0,0.0,164,0,"(16263, 100)"
2025-10-23T18:04:10,0.0,-12.2,89.7,0.0,0.0,0.0,125,0,"(16217, 100)"
2025-10-23T18:04:11,0.0,-15.1,89.7,0.0,0.0,0.0,109,0,"(16217, 100)"
2025-10-23T18:04:11,0.0,-18.5,89.8,0.0,0.0,0.0,94,0,"(16217, 100)"
2025-10-23T18:04:12,0.0,-21.6,89.7,0.0,0.0,0.0,85,0,"(16214, 100)"
2025-10-23T18:04:12,0.0,-24.7,89.9,0.0,0.0,0.0,73,0,"(16214, 100)"
2025-10-23T18:04:13,0.0,-27.7,89.8,0.0,0.0,0.0,72,0,"(16214, 100)"
2025-10-23T18:04:14,0.0,-29.4,86.2,0.0,0.0,0.0,70,0,"(16214, 100)"
2025-10-23T18:04:15,-0.6,-29.2,15.1,0.0,0.0,0.0,30,0,"(16214, 100)"
2025-10-23T18:04:15,-0.4,-28.0,299.9,0.0,0.0,0.0,18,0,"(16200, 100)"
2025-10-23T18:04:16,0.0,0.0,89.9,0.0,0.0,0.0,18,0,"(16200, 100)"
2025-10-23T18:04:17,0.0,0.0,90.0,0.0,0.0,0.0,19,0,"(16200, 100)"
2025-10-23T18:04:18,0.0,0.0,90.0,0.0,0.0,0.0,21,0,"(16200, 100)"
2025-10-23T18:04:19,0.0,0.0,90.0,6.161963886061055,9.838036113938944,0.0,16,0,"(16200, 100)"
2025-10-23T18:04:20,-0.3,5.4,96.0,6.325230113935411,9.674769886064588,0.0,18,0,"(16200, 100)"
2025-10-23T18:04:21,-1.9,13.1,105.1,6.487186528622544,9.512813471377456,0.0,22,0,"(16200, 100)"
2025-10-23T18:04:22,-5.0,21.0,114.0,6.649129793544826,9.350870206455173,0.0,20,0,"(16200, 100)"
2025-10-23T18:04:23,-8.7,27.5,120.6,6.866481549896056,9.133518450103944,0.0,25,0,"(16200, 100)"
2025-10-23T18:04:24,-13.0,33.7,126.9,6.975643951378436,9.024356048621563,0.0,20,0,"(16201, 100)"
2025-10-23T18:04:25,-18.5,40.0,132.2,7.067378594591972,8.932621405408028,0.0,25,0,"(16201, 100)"
2025-10-23T18:04:26,-24.3,45.5,137.1,7.206545694093115,8.793454305906884,0.0,27,0,"(16201, 100)"
2025-10-23T18:04:27,-31.3,51.2,141.9,7.276874968243264,8.723125031756737,0.0,29,0,"(16201, 100)"
2025-10-23T18:04:28,-37.6,55.6,145.4,7.327854457843324,8.672145542156677,0.0,30,0,"(16201, 100)"
2025-10-23T18:04:30,-44.5,59.9,148.7,7.42452166396195,8.575478336038051,0.0,37,0,"(16201, 100)"
2025-10-23T18:04:31,-51.9,63.9,151.9,7.456555499263235,8.543444500736765,0.0,41,0,"(16201, 100)"
2025-10-23T18:04:32,-60.4,67.9,154.8,7.510946795702133,8.489053204297868,0.0,67,0,"(16201, 100)"
2025-10-23T18:04:33,-68.9,71.4,157.6,7.540112826937343,8.459887173062656,0.0,124,0,"(16201, 100)"
2025-10-23T18:04:34,-77.2,74.6,159.6,2.5554779639674923,3.4445220360325077,0.0,316,0,"(16201, 100)"
2025-10-23T18:04:35,-82.4,76.3,162.1,0.0,0.0,0.0,712,0,"(16201, 100)"
2025-10-23T18:04:36,-83.5,76.7,163.1,0.0,0.0,0.0,710,0,"(16201, 100)"
2025-10-23T18:04:37,-83.3,77.4,193.3,0.0,0.0,0.0,572,0,"(16201, 100)"
2025-10-23T18:04:38,-83.5,77.7,198.5,0.0,0.0,0.0,576,0,"(16201, 100)"
2025-10-23T18:04:39,-83.4,77.9,207.4,0.0,0.0,0.0,295,0,"(16201, 100)"
2025-10-23T18:04:40,-83.8,78.1,233.8,0.0,0.0,0.0,304,0,"(16201, 100)"
2025-10-23T18:04:41,-83.8,78.1,233.8,0.0,0.0,0.0,38,0,"(16201, 100)"
2025-10-23T18:04:42,-84.2,77.8,269.1,0.0,0.0,0.0,32,0,"(16201, 100)"
2025-10-23T18:04:43,-84.2,77.8,269.2,0.0,0.0,0.0,35,0,"(16201, 100)"
2025-10-23T18:04:44,-84.1,77.6,293.9,0.0,0.0,0.0,24,0,"(16201, 100)"
2025-10-23T18:04:45,-84.2,77.3,304.2,0.0,0.0,0.0,27,0,"(16201, 100)"
2025-10-23T18:04:45,-84.3,77.3,313.2,0.0,0.0,0.0,25,0,"(16201, 100)"
2025-10-23T18:04:46,-84.5,76.7,339.2,3.5999999999999996,2.0,0.0,18,0,"(16201, 100)"
2025-10-23T18:04:48,-82.8,76.0,337.0,3.5999999999999996,2.0,0.0,19,0,"(16201, 100)"
2025-10-23T18:04:49,-78.9,74.1,330.8,6.0,2.0,0.0,18,0,"(16201, 100)"
2025-10-23T18:04:50,-75.2,71.9,323.9,6.0,2.0,0.0,22,0,"(16201, 100)"
2025-10-23T18:04:51,-70.9,68.2,309.7,6.0,2.0,0.0,20,0,"(16201, 100)"
2025-10-23T18:04:52,-67.6,63.1,294.1,6.0,2.0,0.0,26,0,"(16201, 100)"
2025-10-23T18:04:53,-65.8,56.8,277.2,6.0,2.0,0.0,40,0,"(16201, 100)"
2025-10-23T18:04:54,-65.9,51.2,262.9,6.0,2.0,0.0,61,0,"(16201, 100)"
2025-10-23T18:04:55,-67.8,44.5,246.1,6.0,2.0,0.0,90,0,"(16201, 100)"
2025-10-23T18:04:56,-71.5,38.6,228.9,3.5999999999999996,2.0,0.0,90,0,"(16201, 100)"
2025-10-23T18:04:57,-74.4,35.6,222.4,3.5999999999999996,2.0,0.0,90,0,"(16201, 100)"
2025-10-23T18:04:58,-77.7,32.9,216.5,3.5999999999999996,2.0,0.0,85,0,"(16201, 100)"
2025-10-23T18:04:59,-80.9,30.6,211.0,3.5999999999999996,2.0,0.0,81,0,"(16201, 100)"
2025-10-23T18:05:01,-84.7,28.6,205.0,3.5999999999999996,2.0,0.0,103,0,"(16201, 100)"
2025-10-23T18:05:02,-88.9,26.9,198.9,3.5999999999999996,2.0,0.0,109,0,"(16201, 100)"
2025-10-23T18:05:03,-92.8,25.7,193.4,3.5999999999999996,2.0,0.0,119,0,"(16201, 100)"
2025-10-23T18:05:04,-96.8,24.9,187.9,3.5999999999999996,2.0,0.0,97,0,"(16201, 100)"
2025-10-23T18:05:05,-101.6,24.5,181.4,3.5999999999999996,2.0,0.0,56,0,"(16201, 100)"
2025-10-23T18:05:06,-105.9,24.5,175.6,3.5999999999999996,2.0,0.0,34,0,"(16201, 100)"
2025-10-23T18:05:07,-109.9,25.1,170.0,3.5999999999999996,2.0,0.0,24,0,"(16201, 100)"
2025-10-23T18:05:08,-114.3,26.1,164.2,6.0,2.0,0.0,25,0,"(16201, 100)"
