idx,state,t,dist_cm,deg,odom_dist_cm,odom_deg,err_dist_cm,err_deg
0,turn_right,2.128,0.0,103.76,0.72,-80.2,0.72,176.04
1,forward,18.237,273.56,0.0,266.46,-5.1,-7.1,-5.1
