idx,state,t,dist_cm,deg,odom_dist_cm,odom_deg,err_dist_cm,err_deg
0,forward,5.43,81.45,0.0,74.7,0.2,-6.75,0.2
1,turn_left,1.999,0.0,-97.49,2.51,75.1,2.51,172.59
2,curve_left,0.001,0.02,-0.06,0.1,21.8,0.08,21.86
3,forward,6.464,96.96,0.0,87.63,6.4,-9.33,6.4
4,turn_right,1.925,0.0,93.88,2.19,-68.4,2.19,-162.28
5,forward,1.372,20.58,0.0,13.35,-2.3,-7.23,-2.3
6,turn_left,1.327,0.0,-64.68,0.63,44.2,0.63,108.88
7,forward,3.719,55.78,0.0,46.86,7.1,-8.93,7.1
