ts,x,y,theta,cmd_vl,cmd_vr,acc_rms,ir_max,bumps,batt
2025-10-23T18:15:28,0.0,0.0,89.9,0.0,0.0,0.0,372,0,"(16232, 100)"
2025-10-23T18:15:29,0.0,0.0,89.9,0.0,0.0,0.0,372,0,"(16232, 100)"
2025-10-23T18:15:29,0.0,0.0,89.9,0.0,0.0,0.0,371,0,"(16232, 100)"
2025-10-23T18:15:30,0.0,0.0,89.9,0.0,0.0,0.0,367,0,"(16232, 100)"
2025-10-23T18:15:31,0.0,0.0,89.9,0.0,0.0,0.0,367,0,"(16232, 100)"
2025-10-23T18:15:31,0.0,0.0,89.9,0.0,0.0,0.0,347,0,"(16232, 100)"
2025-10-23T18:15:32,0.0,-2.3,89.7,0.0,0.0,0.0,348,0,"(16232, 100)"
2025-10-23T18:15:33,0.0,-5.7,89.3,0.0,0.0,0.0,162,0,"(16232, 100)"
2025-10-23T18:15:33,0.0,-9.2,89.3,0.0,0.0,0.0,82,0,"(16232, 100)"
2025-10-23T18:15:34,0.0,-12.4,89.4,0.0,0.0,0.0,74,0,"(16180, 100)"
2025-10-23T18:15:35,0.0,-15.5,89.4,0.0,0.0,0.0,101,0,"(16180, 100)"
2025-10-23T18:15:35,-0.1,-18.2,89.5,0.0,0.0,0.0,84,0,"(16180, 100)"
2025-10-23T18:15:36,-0.1,-21.7,89.5,0.0,0.0,0.0,80,0,"(16180, 100)"
2025-10-23T18:15:37,-0.1,-24.8,89.4,0.0,0.0,0.0,60,0,"(16178, 100)"
2025-10-23T18:15:37,-0.2,-27.7,89.5,0.0,0.0,0.0,28,0,"(16178, 100)"
2025-10-23T18:15:38,-0.2,-29.7,89.4,0.0,0.0,0.0,61,0,"(16178, 100)"
2025-10-23T18:15:39,-0.5,-29.7,33.3,0.0,0.0,0.0,39,0,"(16178, 100)"
2025-10-23T18:15:39,-0.7,-28.5,321.6,0.0,0.0,0.0,19,0,"(16167, 100)"
2025-10-23T18:15:40,-0.3,-27.9,269.1,0.0,0.0,0.0,22,0,"(16167, 100)"
2025-10-23T18:15:41,0.0,0.0,89.9,0.0,0.0,0.0,22,0,"(16167, 100)"
2025-10-23T18:15:41,0.0,0.0,89.9,0.0,0.0,0.0,21,0,"(16167, 100)"
2025-10-23T18:15:42,0.0,0.0,89.9,0.0,0.0,0.0,21,0,"(16167, 100)"
2025-10-23T18:15:43,0.0,0.0,89.9,0.0,0.0,0.0,19,0,"(16167, 100)"
2025-10-23T18:15:44,0.0,0.0,89.9,0.0,0.0,0.0,20,0,"(16167, 100)"
2025-10-23T18:15:44,0.0,0.0,89.9,0.0,0.0,0.0,20,0,"(16167, 100)"
2025-10-23T18:15:45,0.0,0.0,89.9,0.0,0.0,0.0,19,0,"(16167, 100)"
2025-10-23T18:15:46,0.0,0.0,89.9,0.0,0.0,0.0,19,0,"(16167, 100)"
2025-10-23T18:15:47,0.0,0.0,90.0,6.158963886061056,9.841036113938944,0.0,17,0,"(16167, 100)"
2025-10-23T18:15:49,-1.0,9.5,101.0,6.4477575793902036,9.552242420609797,0.0,18,0,"(16167, 100)"
2025-10-23T18:15:50,-3.4,17.6,110.3,6.582569908752701,9.417430091247299,0.0,19,0,"(16167, 100)"
2025-10-23T18:15:51,-7.1,25.1,118.3,6.729543665388304,9.270456334611696,0.0,19,0,"(16167, 100)"
2025-10-23T18:15:52,-11.4,31.8,124.4,6.927889128422899,9.0721108715771,0.0,16,0,"(16167, 100)"
2025-10-23T18:15:53,-16.6,38.3,130.2,7.0011923568787,8.998807643121301,0.0,22,0,"(16166, 100)"
2025-10-23T18:15:54,-22.1,43.9,135.1,7.162537903430781,8.837462096569219,0.0,23,0,"(16166, 100)"
2025-10-23T18:15:55,-28.3,49.2,139.6,7.217807536637665,8.782192463362335,0.0,19,0,"(16166, 100)"
2025-10-23T18:15:56,-34.9,54.2,143.6,7.3247637023645815,8.675236297635418,0.0,26,0,"(16166, 100)"
2025-10-23T18:15:57,-42.0,58.8,147.3,7.367550230198555,8.632449769801445,0.0,32,0,"(16166, 100)"
2025-10-23T18:15:58,-49.0,62.9,150.4,7.406160320486133,8.593839679513868,0.0,41,0,"(16166, 100)"
2025-10-23T18:15:59,-55.9,66.5,153.1,7.468563807598342,8.531436192401658,0.0,56,0,"(16166, 100)"
2025-10-23T18:16:00,-62.9,69.7,155.6,7.4950722665537155,8.504927733446285,0.0,83,0,"(16166, 100)"
2025-10-23T18:16:01,-70.9,72.8,158.3,5.123045775341884,6.076954224658115,0.0,182,0,"(16166, 100)"
2025-10-23T18:16:02,-76.6,74.9,160.3,0.0,0.0,0.0,563,0,"(16166, 100)"
2025-10-23T18:16:03,-80.8,76.2,162.0,0.0,0.0,0.0,801,0,"(16166, 100)"
2025-10-23T18:16:04,-80.8,76.2,162.0,0.0,0.0,0.0,594,0,"(16166, 100)"
2025-10-23T18:16:05,-80.8,77.4,202.9,0.0,0.0,0.0,496,0,"(16166, 100)"
2025-10-23T18:16:06,-80.8,77.4,202.8,0.0,0.0,0.0,740,0,"(16166, 100)"
2025-10-23T18:16:07,-81.4,77.6,243.7,0.0,0.0,0.0,320,0,"(16166, 100)"
2025-10-23T18:16:08,-81.4,77.6,243.5,0.0,0.0,0.0,40,0,"(16166, 100)"
2025-10-23T18:16:09,-81.5,77.3,281.3,0.0,0.0,0.0,27,0,"(16166, 100)"
2025-10-23T18:16:10,-81.6,77.2,283.9,0.0,0.0,0.0,27,0,"(16166, 100)"
2025-10-23T18:16:11,-81.6,77.1,308.2,0.0,0.0,0.0,16,0,"(16166, 100)"
2025-10-23T18:16:12,-81.7,76.7,324.2,0.0,0.0,0.0,17,0,"(16166, 100)"
2025-10-23T18:16:13,-81.7,76.5,341.5,0.0,0.0,0.0,22,0,"(16166, 100)"
2025-10-23T18:16:14,-81.6,75.9,4.1,0.0,0.0,0.0,22,0,"(16166, 100)"
2025-10-23T18:16:14,-81.7,75.6,17.7,0.0,0.0,0.0,19,0,"(16166, 100)"
2025-10-23T18:16:15,-81.3,75.4,44.8,0.0,0.0,0.0,21,0,"(16166, 100)"
